4415057553545618|03|2027|242
4415057540760338|09|2027|833
4415057541858768|01|2027|911
4415057503606510|02|2025|790
4415057561156721|02|2028|513
4415057515747518|01|2027|208
4415057523232768|03|2025|557
4415057512554446|04|2025|397
4415057524661262|05|2027|734
4415057510860134|04|2025|265
4415057546121287|08|2024|632
4415057571400846|12|2026|236
4415057574113487|01|2025|595
4415057533630662|06|2027|414
4415057500341046|12|2028|543
4415057505306135|04|2028|298
4415057508400513|05|2024|241
4415057540536043|06|2027|778
4415057512114241|01|2025|254
4415057507710516|07|2028|982
4415057506126144|03|2027|373
4415057538054728|05|2025|492
4415057521770124|04|2028|268
4415057566711264|03|2028|232
4415057504340010|12|2026|486
4415057527638028|11|2027|190
4415057522143164|11|2028|865
4415057538582173|02|2025|853
4415057573163574|05|2027|996
4415057541161874|04|2028|620
4415057587434144|07|2028|702
4415057562218827|01|2028|306
4415057563722108|10|2024|150
4415057543611710|02|2024|580
4415057526465134|04|2026|456
4415057578424203|09|2024|574
4415057522500843|07|2025|265
4415057562823105|02|2024|391
4415057555154021|03|2024|504
4415057502417471|05|2024|556
4415057517587383|08|2027|349
4415057556403724|04|2026|277
4415057561262750|06|2026|533
4415057577261820|08|2024|435
4415057563527606|12|2027|121
4415057530725424|02|2028|471
4415057572148758|06|2024|112
4415057515453281|08|2027|400
4415057515556638|03|2028|319
4415057511802416|10|2028|262
4415057553351728|06|2025|290
4415057555582346|10|2024|461
4415057507720028|07|2025|664
4415057581001824|07|2024|864
4415057503431273|06|2024|820
4415057575300661|05|2028|991
4415057554416827|08|2028|872
4415057521045006|05|2026|847
4415057508231330|06|2026|404
4415057586500846|07|2028|404
4415057557032738|03|2026|126
4415057546257057|01|2024|736
4415057582435302|04|2026|511
4415057530238121|01|2027|243
4415057553581332|09|2027|925
4415057507663145|05|2026|677
4415057537030042|06|2024|944
4415057585460315|05|2026|605
4415057547881335|07|2024|782
4415057544508261|06|2027|896
4415057556214220|01|2027|799
4415057585860100|12|2027|462
4415057527842877|03|2026|861
4415057554568635|10|2027|417
4415057552358377|12|2024|378
4415057538634214|06|2026|607
4415057552160401|01|2028|609
4415057543385687|09|2026|467
4415057537343718|09|2026|794
4415057547221243|03|2024|635
4415057558713062|08|2026|375
4415057577146252|12|2027|636
4415057581056208|10|2027|679
4415057582756046|05|2024|411
4415057503761810|06|2024|461
4415057504271082|02|2028|729
4415057553837106|04|2027|408
4415057533086246|02|2028|189
4415057555510578|01|2028|243
4415057572007483|08|2028|944
4415057564472703|05|2027|499
4415057507260058|09|2028|243
4415057561003378|09|2026|866
4415057525337037|03|2024|815
4415057566834553|01|2027|892
4415057584621552|06|2028|273
4415057518425567|07|2026|201
4415057524860625|09|2027|610
4415057556385228|09|2024|850
4415057583232278|10|2026|219
